,LONGITUDE,LATITUDE,SPD,LEN,ACC,VOL,F85th,LOCAL,F50th,Precip,Air max,min,obs,hour,Accident
2838,-121.944756,37.2511113,35,3900.0,6.0,8300.0,38.0,0,34.0,0.13,66,49,57.5,8.0,0
2839,-121.9062003,37.22064175,35,3000.0,3.0,2950.0,38.0,0,34.0,0.03,81,57,69.0,9.0,1
2840,-121.9129923,37.2362739,25,5000.0,6.0,3100.0,31.0,0,28.3,0.09,58,41,49.5,1.0,0
2841,-121.8459306,37.34277067,35,8200.0,197.0,17650.0,36.3,0,32.5,0.07,59,42,50.5,19.0,1
2842,-121.8290525,37.3348819,25,4050.0,15.0,4300.0,29.0,0,26.0,0.08,58,42,50.0,13.0,0
2843,-121.8961228,37.2735845,25,6400.0,2.0,2050.0,29.3,0,28.0,0.0,83,57,70.0,16.0,0
2844,-121.8465874,37.2658688,35,3350.0,24.0,8250.0,40.0,0,35.0,0.01,76,54,65.0,20.0,1
2845,-121.9501943,37.3374044,35,3000.0,11.0,9980.0,38.5,0,35.0,0.06,59,41,50.0,18.0,0
2846,-121.8667973,37.323254,30,14650.0,183.0,25700.0,34.3,0,30.5,0.12,62,44,53.0,16.0,0
2847,-121.8037533,37.2278813,30,3760.0,0.0,1850.0,33.0,0,29.0,0.0,81,56,68.5,21.0,0
2848,-121.8816368,37.3285686,25,1350.0,11.0,3100.0,28.0,0,24.0,0.0,82,59,70.5,23.0,0
2849,-121.867204,37.2148343,25,2380.0,0.0,1300.0,29.5,0,25.5,0.0,73,50,61.5,15.0,0
2850,-121.8627906,37.2583331,35,2500.0,9.0,5550.0,38.0,0,34.0,0.14,66,47,56.5,5.0,0
2851,-121.9314241,37.2616794,35,4800.0,22.0,17500.0,38.5,0,35.0,0.01,83,57,70.0,10.0,0
2852,-121.8782507,37.2784989,35,1950.0,14.0,10100.0,38.0,0,34.0,0.03,59,44,51.5,12.0,0
2853,-121.7721442,37.2326407,40,1850.0,6.0,17600.0,42.0,0,36.0,0.12,57,41,49.0,0.0,0
2854,-121.8043469,37.3215618,25,4200.0,7.0,2000.0,32.0,1,25.0,0.11,65,46,55.5,2.0,0
2855,-121.9194349,37.31070663,30,850.0,7.0,8250.0,31.0,0,28.0,0.0,83,59,71.0,0.0,1
2856,-121.8515061,37.3054494,40,5000.0,37.0,12800.0,42.5,0,39.0,0.0,83,59,71.0,13.0,0
2857,-121.853328,37.37776172,35,3400.0,16.0,10250.0,39.0,0,36.0,0.1,67,49,58.0,5.0,1
2858,-121.9396088,37.27251215,35,7500.0,37.0,15350.0,39.7,0,36.7,0.06,65,46,55.5,18.0,1
2859,-121.8898379,37.3917057,25,1600.0,6.0,3875.0,35.0,0,25.0,0.03,64,46,55.0,16.0,0
2860,-121.8441154,37.2428445,30,2800.0,8.0,1500.0,34.0,0,31.0,0.02,80,57,68.5,9.0,0
2861,-121.8982229,37.4008033,35,2730.0,3.0,1450.0,39.0,0,35.0,0.12,63,45,54.0,7.0,0
2862,-121.8761031,37.2590082,35,13450.0,54.0,7200.0,37.3,0,33.3,0.03,71,51,61.0,9.0,0
2863,-121.8653517,37.2207125,35,4600.0,10.0,10100.0,39.5,0,36.5,0.03,72,49,60.5,12.0,0
2864,-121.8304922,37.36474279999999,30,8658.0,110.0,23950.0,34.0,0,30.0,0.0,77,55,66.0,7.0,0
2865,-121.8853371,37.3283593,25,3700.0,60.0,7450.0,26.5,0,23.5,0.0,82,59,70.5,13.0,0
2866,-121.9192495,37.3376264,35,3100.0,28.0,10300.0,38.0,0,34.0,0.04,76,53,64.5,18.0,0
2867,-121.8689523,37.2081931,25,3350.0,1.0,650.0,29.0,0,26.0,0.22,63,45,54.0,5.0,0
2868,-121.861191,37.3035989,40,4100.0,17.0,9100.0,39.7,0,36.0,0.04,76,53,64.5,19.0,1
2869,-121.9197404,37.3718154,40,8550.0,97.0,40600.0,42.0,0,38.3,0.0,85,59,72.0,3.0,0
2870,-121.90126770000002,37.29123,25,2080.0,3.0,1250.0,31.0,0,25.0,0.0,75,52,63.5,16.0,0
2871,-121.8983508,37.3499698,30,1250.0,34.0,23800.0,31.0,0,27.0,0.12,57,41,49.0,14.0,0
2872,-121.88853590000002,37.3309086,25,1500.0,21.0,6350.0,26.0,0,23.0,0.18,60,44,52.0,16.0,0
2873,-121.8724937,37.29512544,30,800.0,8.0,2250.0,31.0,0,28.0,0.0,83,58,70.5,2.0,1
2874,-121.9646114,37.43105980000001,25,1250.0,0.0,1250.0,29.0,0,25.0,0.1,61,45,53.0,0.0,0
2875,-121.897707,37.320182,25,7260.0,33.0,4400.0,27.3,0,24.0,0.01,75,53,64.0,3.0,0
2876,-121.872109,37.250321,35,10600.0,20.0,18700.0,42.0,0,37.0,0.02,70,49,59.5,5.0,0
2877,-121.9252053,37.3774406,35,3850.0,9.0,13250.0,39.0,0,35.0,0.01,68,48,58.0,4.0,0
2878,-121.9705746,37.3082906,30,2600.0,3.0,1600.0,31.0,0,27.0,0.07,59,42,50.5,7.0,1
2879,-121.8304922,37.36474279999999,30,8658.0,110.0,23950.0,34.0,0,30.0,0.08,61,44,52.5,19.0,0
2880,-121.7859423,37.2584572,35,2000.0,0.0,1250.0,39.0,0,34.0,0.0,83,58,70.5,11.0,0
2881,-121.8754524,37.2509041,40,6500.0,85.0,33500.0,41.3,0,38.0,0.03,74,52,63.0,6.0,0
2882,-121.82621670000002,37.3500848,30,2800.0,7.0,1500.0,32.5,0,28.0,0.02,64,46,55.0,3.0,0
2883,-121.850014,37.365241,35,7530.0,49.0,15150.0,38.5,0,35.0,0.05,73,53,63.0,12.0,0
2884,-121.8639081,37.35351921,25,5050.0,51.0,5150.0,28.5,0,25.0,0.09,63,46,54.5,4.0,1
2885,-121.8775357,37.3359996,25,2260.0,10.0,2700.0,27.5,0,23.5,0.0,80,57,68.5,2.0,0
2886,-121.8278398,37.2877486,30,1850.0,17.0,9025.0,34.0,0,31.0,0.07,62,44,53.0,7.0,0
2887,-121.8091777,37.3463737,35,6000.0,15.0,6250.0,39.5,0,35.0,0.07,59,43,51.0,9.0,0
2888,-121.87132549999998,37.3330193,25,3855.0,5.0,1400.0,28.0,0,24.0,0.02,61,44,52.5,18.0,0
2889,-121.84808329999998,37.29049759999999,30,3900.0,23.0,6250.0,32.5,0,29.5,0.0,82,58,70.0,9.0,0
2890,-121.9501943,37.3374044,35,3000.0,11.0,9980.0,38.5,0,35.0,0.08,66,47,56.5,4.0,0
2891,-121.90183600000002,37.35120523,25,4200.0,62.0,14000.0,30.0,0,26.7,0.0,83,58,70.5,16.0,1
2892,-121.8038778,37.246019,30,5580.0,7.0,3850.0,36.0,0,31.8,0.12,57,41,49.0,11.0,0
2893,-121.920712,37.3506502,35,7200.0,7.0,14450.0,41.0,0,37.0,0.0,82,60,71.0,4.0,0
2894,-121.867204,37.2148343,25,4630.0,1.0,1400.0,29.0,0,28.0,0.08,69,49,59.0,5.0,0
2895,-121.891369,37.33878989999999,25,5050.0,51.0,5150.0,28.5,0,25.0,0.03,74,51,62.5,3.0,0
2896,-121.85365159999998,37.33274106,35,8200.0,197.0,17650.0,36.3,0,32.5,0.0,82,60,71.0,21.0,1
2897,-121.9243024,37.31069799,35,5200.0,68.0,12150.0,37.5,0,33.5,0.04,71,48,59.5,19.0,1
2898,-121.8430176,37.29400023,30,3900.0,23.0,6250.0,32.5,0,29.5,0.0,82,57,69.5,16.0,1
2899,-121.8955905,37.2775911,25,4365.0,9.0,3000.0,29.5,0,26.5,0.0,79,58,68.5,2.0,0
2900,-121.8523966,37.39728755,35,2580.0,6.0,1100.0,38.0,0,32.5,0.01,76,52,64.0,7.0,1
2901,-121.8025008,37.3666442,25,750.0,0.0,2250.0,29.0,0,25.0,0.1,58,42,50.0,3.0,0
2902,-121.897707,37.320182,25,7260.0,33.0,4400.0,27.3,0,24.0,0.06,59,41,50.0,12.0,0
2903,-121.8820105,37.4034582,35,8700.0,47.0,13850.0,40.0,0,36.0,0.05,68,50,59.0,12.0,0
2904,-121.9002176,37.3319623,25,1580.0,5.0,3000.0,29.5,0,26.0,0.0,80,55,67.5,10.0,0
2905,-121.9450002,37.3255657,35,2500.0,37.0,22000.0,36.0,0,32.0,0.0,75,51,63.0,14.0,0
2906,-121.9010946,37.3084672,30,3775.0,19.0,11300.0,32.5,0,29.5,0.03,81,57,69.0,3.0,0
2907,-121.8306122,37.34838405,35,8350.0,140.0,20900.0,38.0,0,33.7,0.0,81,56,68.5,23.0,1
2908,-121.9646114,37.43105980000001,25,1250.0,0.0,1250.0,29.0,0,25.0,0.0,83,59,71.0,19.0,0
2909,-121.9398465,37.3991008,35,7600.0,8.0,6500.0,38.0,0,32.7,0.14,66,47,56.5,10.0,0
2910,-121.8005417,37.3355076,35,4600.0,16.0,12000.0,39.5,0,36.0,0.05,59,41,50.0,18.0,0
2911,-121.89352240000002,37.3322979,30,4300.0,22.0,13100.0,33.5,0,29.0,0.17,66,47,56.5,2.0,0
2912,-121.8688352,37.32620044,30,14650.0,183.0,25700.0,34.3,0,30.5,0.05,59,41,50.0,23.0,1
2913,-121.8278398,37.2877486,30,1850.0,17.0,9025.0,34.0,0,31.0,0.11,65,46,55.5,15.0,0
2914,-121.85935790000002,37.2671123,40,8070.0,32.0,19050.0,43.7,0,40.3,0.04,69,48,58.5,14.0,0
2915,-121.8716119,37.2896076,35,1550.0,4.0,7100.0,36.0,0,33.0,0.01,81,58,69.5,1.0,0
2916,-121.8887318,37.2805049,25,6400.0,1.0,1850.0,29.8,0,26.8,0.18,62,45,53.5,4.0,0
2917,-121.8199439,37.3407502,35,3600.0,26.0,20000.0,38.0,0,34.5,0.0,83,56,69.5,14.0,0
2918,-121.77073190000002,37.250276,45,7000.0,13.0,4700.0,48.5,0,43.5,0.1,57,41,49.0,9.0,0
2919,-121.8387007,37.36578133,35,3054.0,30.0,29000.0,41.0,0,36.0,0.0,84,57,70.5,17.0,1
2920,-121.9192495,37.3376264,35,3100.0,28.0,10300.0,38.0,0,34.0,0.12,61,44,52.5,14.0,0
2921,-121.9317945,37.2944271,35,6000.0,52.0,22150.0,39.0,0,35.5,0.0,83,57,70.0,22.0,0
2922,-121.8677483,37.32475017,30,14650.0,183.0,25700.0,34.3,0,30.5,0.0,78,56,67.0,21.0,1
2923,-121.8283587,37.28835711,30,1850.0,17.0,9025.0,34.0,0,31.0,0.02,77,55,66.0,8.0,1
2924,-121.8685433,37.27119458,40,7200.0,32.0,10600.0,42.3,0,38.7,0.03,60,42,51.0,13.0,1
2925,-121.86889840000002,37.31135782,25,4830.0,19.0,7950.0,29.5,0,26.5,0.13,62,43,52.5,23.0,1
2926,-121.9038604,37.33191070000001,35,11100.0,71.0,26300.0,37.8,0,33.8,0.09,61,44,52.5,17.0,0
2927,-121.842445,37.3904627,35,5500.0,42.0,13600.0,38.3,0,34.0,0.05,74,53,63.5,2.0,0
2928,-121.8821297,37.40332487,35,8700.0,47.0,13850.0,40.0,0,36.0,0.0,82,57,69.5,21.0,1
2929,-121.7498123,37.19092910000001,55,28000.0,79.0,15150.0,57.8,0,51.3,0.04,66,47,56.5,19.0,0
2930,-121.9345733,37.33196972,35,4600.0,23.0,7000.0,38.5,0,35.0,0.07,59,43,51.0,20.0,1
2931,-121.8953031,37.3398608,40,5100.0,16.0,21700.0,41.0,0,37.0,0.1,73,51,62.0,11.0,0
